dim: 128 x 40 x 71
axis=2 slice=16

6.480	6.343	6.217	6.105	6.010	5.931	5.873	5.835	5.819	5.697	5.540	5.392	5.252	5.124	5.008	4.905	4.818	4.748	4.696	4.662	4.649	4.657	4.684	4.731	4.797	4.879	4.978	5.090	5.207	5.336	5.469	5.594	5.613	5.653	5.714	5.795	5.893	5.996	6.109	6.226	6.351	6.481	6.380	6.260	6.133	6.019	5.914	5.808	5.721	5.635	5.562	5.507	5.435	5.293	5.154	5.026	4.906	4.788	4.685	4.595	4.503	4.429	4.314	4.163	4.022	3.871	3.735	3.592	3.462	3.329	3.207	3.086	2.978	2.869	2.783	2.690	2.621	2.569	2.518	2.484	2.467	2.465	2.474	2.489	2.517	2.559	2.614	2.680	2.747	2.822	2.908	3.002	3.098	3.197	3.304	3.417	3.526	3.642	3.764	3.883	4.004	4.131	4.256	4.304	4.340	4.384	4.435	4.489	4.547	4.607	4.667	4.724	4.788	4.868	4.965	5.076	5.200	5.335	5.475	5.533	5.591	5.647	5.706	5.784	5.880	5.992	6.117	6.255	
6.343	6.198	6.065	5.947	5.844	5.760	5.697	5.656	5.638	5.517	5.360	5.211	5.072	4.944	4.827	4.725	4.638	4.567	4.515	4.482	4.469	4.477	4.504	4.551	4.617	4.699	4.797	4.910	5.033	5.162	5.302	5.414	5.434	5.478	5.544	5.630	5.735	5.844	5.964	6.087	6.218	6.354	6.237	6.110	5.976	5.854	5.742	5.627	5.532	5.438	5.357	5.295	5.233	5.104	4.966	4.833	4.704	4.586	4.483	4.380	4.289	4.215	4.087	3.936	3.795	3.644	3.508	3.366	3.235	3.103	2.980	2.859	2.751	2.642	2.556	2.463	2.394	2.342	2.291	2.257	2.240	2.238	2.247	2.262	2.290	2.332	2.387	2.453	2.520	2.595	2.681	2.775	2.871	2.970	3.077	3.190	3.299	3.415	3.537	3.656	3.777	3.904	4.029	4.083	4.123	4.172	4.227	4.284	4.346	4.411	4.478	4.544	4.608	4.688	4.785	4.896	5.020	5.154	5.284	5.348	5.411	5.472	5.535	5.619	5.721	5.840	5.973	6.117	
6.217	6.065	5.925	5.799	5.690	5.600	5.531	5.487	5.468	5.346	5.190	5.041	4.902	4.773	4.657	4.555	4.467	4.397	4.345	4.312	4.298	4.306	4.333	4.380	4.446	4.528	4.627	4.739	4.865	4.998	5.138	5.244	5.266	5.313	5.384	5.477	5.588	5.704	5.831	5.960	6.097	6.238	6.106	5.973	5.831	5.701	5.580	5.456	5.352	5.247	5.157	5.088	5.017	4.925	4.777	4.637	4.508	4.390	4.275	4.170	4.078	4.004	3.860	3.709	3.568	3.417	3.281	3.139	3.008	2.876	2.753	2.632	2.524	2.415	2.329	2.236	2.167	2.115	2.064	2.030	2.013	2.011	2.020	2.035	2.063	2.105	2.160	2.226	2.293	2.368	2.454	2.548	2.644	2.743	2.850	2.963	3.072	3.188	3.310	3.429	3.551	3.677	3.802	3.863	3.909	3.962	4.018	4.082	4.151	4.223	4.296	4.368	4.437	4.518	4.615	4.725	4.849	4.984	5.101	5.171	5.240	5.306	5.375	5.465	5.574	5.700	5.840	5.992	
6.105	5.947	5.799	5.666	5.550	5.453	5.379	5.331	5.310	5.189	5.032	4.883	4.744	4.615	4.499	4.397	4.309	4.239	4.187	4.154	4.141	4.148	4.176	4.222	4.288	4.371	4.469	4.581	4.707	4.843	4.988	5.086	5.110	5.161	5.238	5.337	5.456	5.579	5.712	5.847	5.990	6.137	5.990	5.850	5.700	5.561	5.431	5.297	5.183	5.067	4.966	4.886	4.805	4.740	4.590	4.450	4.320	4.189	4.070	3.964	3.873	3.784	3.633	3.482	3.341	3.190	3.054	2.912	2.781	2.649	2.526	2.405	2.297	2.188	2.102	2.010	1.940	1.888	1.837	1.803	1.786	1.784	1.793	1.808	1.836	1.878	1.933	1.999	2.066	2.141	2.227	2.321	2.417	2.516	2.623	2.736	2.845	2.961	3.083	3.202	3.324	3.450	3.575	3.645	3.697	3.751	3.816	3.888	3.963	4.041	4.122	4.204	4.280	4.360	4.457	4.567	4.691	4.826	4.930	5.007	5.082	5.154	5.228	5.324	5.441	5.574	5.721	5.880	
6.010	5.844	5.690	5.550	5.426	5.323	5.243	5.191	5.169	5.047	4.890	4.741	4.602	4.474	4.357	4.255	4.168	4.097	4.045	4.012	3.999	4.007	4.034	4.081	4.147	4.229	4.327	4.440	4.565	4.701	4.848	4.944	4.970	5.026	5.108	5.214	5.340	5.470	5.609	5.750	5.898	6.048	5.889	5.743	5.585	5.438	5.300	5.154	5.029	4.901	4.786	4.695	4.599	4.546	4.415	4.265	4.123	3.992	3.873	3.767	3.661	3.558	3.406	3.255	3.114	2.963	2.827	2.685	2.554	2.422	2.299	2.178	2.070	1.961	1.875	1.783	1.713	1.661	1.610	1.576	1.559	1.557	1.566	1.581	1.609	1.651	1.706	1.772	1.839	1.914	2.000	2.094	2.190	2.289	2.396	2.509	2.618	2.734	2.856	2.975	3.097	3.223	3.348	3.432	3.484	3.548	3.619	3.696	3.780	3.869	3.959	4.049	4.136	4.218	4.315	4.426	4.550	4.684	4.774	4.858	4.940	5.018	5.097	5.201	5.324	5.465	5.619	5.784	
5.931	5.760	5.600	5.453	5.323	5.213	5.128	5.072	5.048	4.926	4.769	4.621	4.481	4.353	4.237	4.134	4.047	3.976	3.925	3.891	3.878	3.886	3.913	3.960	4.026	4.108	4.207	4.319	4.444	4.580	4.727	4.824	4.852	4.911	4.999	5.112	5.244	5.380	5.525	5.671	5.823	5.971	5.807	5.655	5.490	5.336	5.188	5.032	4.896	4.754	4.624	4.518	4.404	4.338	4.232	4.081	3.939	3.809	3.679	3.558	3.451	3.331	3.179	3.028	2.887	2.736	2.600	2.458	2.327	2.195	2.072	1.951	1.843	1.734	1.648	1.556	1.486	1.435	1.383	1.350	1.332	1.330	1.339	1.354	1.382	1.424	1.479	1.545	1.612	1.687	1.773	1.867	1.963	2.062	2.169	2.282	2.391	2.507	2.629	2.748	2.870	2.996	3.121	3.217	3.278	3.348	3.427	3.515	3.607	3.705	3.807	3.909	4.008	4.097	4.194	4.305	4.429	4.543	4.638	4.730	4.819	4.903	4.988	5.097	5.228	5.375	5.535	5.706	
5.873	5.697	5.531	5.379	5.243	5.128	5.038	4.979	4.953	4.831	4.675	4.526	4.387	4.258	4.142	4.040	3.952	3.882	3.830	3.796	3.783	3.791	3.818	3.865	3.931	4.013	4.112	4.224	4.350	4.486	4.632	4.729	4.759	4.822	4.915	5.033	5.171	5.311	5.461	5.611	5.767	5.913	5.745	5.588	5.418	5.257	5.102	4.937	4.790	4.635	4.489	4.366	4.227	4.143	4.057	3.908	3.756	3.613	3.481	3.359	3.252	3.104	2.952	2.801	2.660	2.509	2.373	2.231	2.100	1.968	1.845	1.724	1.616	1.507	1.421	1.329	1.259	1.208	1.156	1.123	1.105	1.103	1.112	1.127	1.155	1.197	1.252	1.318	1.385	1.461	1.546	1.641	1.736	1.835	1.942	2.055	2.164	2.280	2.402	2.521	2.643	2.769	2.894	3.007	3.076	3.157	3.244	3.343	3.446	3.557	3.671	3.787	3.900	4.003	4.099	4.210	4.321	4.425	4.529	4.629	4.724	4.813	4.903	5.018	5.154	5.306	5.472	5.647	
5.835	5.656	5.487	5.331	5.191	5.072	4.979	4.917	4.890	4.768	4.611	4.463	4.323	4.195	4.079	3.976	3.889	3.818	3.766	3.733	3.720	3.728	3.755	3.802	3.868	3.950	4.049	4.161	4.286	4.422	4.569	4.666	4.697	4.763	4.859	4.981	5.123	5.267	5.420	5.573	5.731	5.876	5.705	5.545	5.370	5.205	5.045	4.873	4.719	4.552	4.392	4.253	4.088	3.979	3.852	3.738	3.586	3.443	3.311	3.178	3.028	2.877	2.725	2.574	2.433	2.282	2.146	2.004	1.873	1.741	1.618	1.497	1.389	1.280	1.194	1.102	1.032	0.981	0.930	0.896	0.878	0.876	0.885	0.900	0.928	0.970	1.025	1.091	1.158	1.234	1.319	1.414	1.509	1.608	1.715	1.828	1.937	2.053	2.175	2.294	2.416	2.542	2.667	2.793	2.887	2.972	3.073	3.187	3.303	3.429	3.558	3.687	3.793	3.896	4.002	4.115	4.230	4.344	4.455	4.561	4.661	4.753	4.847	4.966	5.105	5.262	5.430	5.609	
5.819	5.638	5.468	5.310	5.169	5.048	4.953	4.890	4.863	4.741	4.584	4.435	4.296	4.168	4.051	3.949	3.862	3.791	3.739	3.706	3.693	3.700	3.728	3.775	3.840	3.923	4.021	4.134	4.259	4.395	4.542	4.639	4.670	4.738	4.836	4.959	5.103	5.248	5.402	5.556	5.716	5.860	5.688	5.526	5.350	5.183	5.021	4.845	4.687	4.516	4.349	4.201	4.018	3.889	3.708	3.573	3.412	3.259	3.113	2.962	2.801	2.650	2.498	2.347	2.206	2.055	1.919	1.777	1.646	1.514	1.391	1.270	1.162	1.053	0.967	0.875	0.805	0.754	0.703	0.669	0.651	0.649	0.658	0.673	0.701	0.744	0.798	0.864	0.931	1.007	1.092	1.187	1.282	1.381	1.488	1.601	1.710	1.826	1.948	2.067	2.189	2.315	2.440	2.566	2.694	2.811	2.925	3.051	3.188	3.335	3.451	3.577	3.711	3.831	3.948	4.069	4.190	4.308	4.422	4.531	4.633	4.728	4.823	4.943	5.085	5.243	5.413	5.593	
5.817	5.636	5.466	5.308	5.166	5.045	4.951	4.887	4.860	4.738	4.581	4.433	4.293	4.165	4.049	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.838	3.920	4.018	4.131	4.256	4.393	4.539	4.636	4.668	4.735	4.833	4.957	5.101	5.246	5.400	5.554	5.714	5.858	5.686	5.524	5.348	5.181	5.018	4.843	4.685	4.513	4.346	4.198	4.014	3.884	3.700	3.556	3.389	3.222	3.062	2.911	2.750	2.599	2.447	2.296	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.039	1.134	1.229	1.329	1.436	1.549	1.659	1.774	1.896	2.015	2.137	2.264	2.389	2.515	2.643	2.773	2.900	3.037	3.176	3.323	3.441	3.571	3.707	3.827	3.944	4.066	4.187	4.305	4.420	4.529	4.631	4.725	4.820	4.941	5.083	5.240	5.411	5.591	
